문제번호,문항코드,평가종류,배점,출제단계,문항유형,난이도,평가영역,평가항목
1,9751,사전평가,1.5,1단계,객관식,중,어휘,명사
2,7137,사전평가,1.5,1단계,객관식,중,문법,"명사, 조사"
3,19623,사전평가,1.5,1단계,객관식,중,어휘,동사
4,26513,사전평가,1.5,1단계,객관식,중,어휘,형용사
5,12164,사전평가,1.5,2단계,객관식,중,어휘,명사
6,14984,사전평가,1.5,2단계,객관식,중,어휘,동사
7,28553,사전평가,1.5,2단계,객관식,중,어휘,형용사
8,29811,사전평가,1.5,2단계,객관식,중,어휘,부사
9,20526,사전평가,1.5,3단계,객관식,중,어휘,명사
10,41988,사전평가,1.5,3단계,객관식,중,어휘,동사
11,9793,사전평가,1.5,3단계,객관식,중,어휘,형용사
12,663,사전평가,1.5,4단계,객관식,중,어휘,명사
13,44973,사전평가,1.5,4단계,객관식,중,어휘,동사
14,24613,사전평가,1.5,4단계,객관식,중,어휘,형용사
15,8900,사전평가,1.5,1단계,객관식,중,문법,조사
16,21598,사전평가,1.5,1단계,객관식,중,문법,연결 표현
17,5442,사전평가,1.5,1단계,객관식,중,문법,"종결 표현, 연결 표현"
18,7829,사전평가,1.5,2단계,객관식,중,문법,연결 표현
19,32673,사전평가,1.5,2단계,객관식,중,문법,연결 표현
20,44249,사전평가,1.5,2단계,객관식,중,문법,종결 표현
21,39924,사전평가,1.5,3단계,객관식,중,문법,연결 표현
22,4677,사전평가,1.5,3단계,객관식,중,문법,연결 표현
23,32042,사전평가,1.5,3단계,객관식,중,문법,종결 표현
24,47244,사전평가,1.5,3단계,객관식,중,문법,종결 표현
25,36296,사전평가,1.5,4단계,객관식,중,문법,연결 표현
26,7163,사전평가,1.5,4단계,객관식,중,문법,연결 표현
27,10850,사전평가,1.5,4단계,객관식,중,문법,종결 표현
28,36556,사전평가,1.5,4단계,객관식,중,문법,종결 표현
29,36187,사전평가,1.5,1단계,객관식,중,쓰기,문맥에 맞는 문장 완성
30,41334,사전평가,1.5,2단계,객관식,중,쓰기,문맥에 맞는 문장 완성
31,23308,사전평가,1.5,3단계,객관식,중,쓰기,문맥에 맞는 문장 완성
32,11715,사전평가,1.5,3단계,객관식,중,쓰기,문맥에 맞는 문장 완성
33,10409,사전평가,1.5,4단계,객관식,중,쓰기,문맥에 맞는 문장 완성
34,47818,사전평가,1.5,1단계,객관식,중,읽기,세부 내용 파악
35,13427,사전평가,1.5,2단계,객관식,중,읽기,세부 내용 파악
36,7390,사전평가,1.5,2단계,객관식,중,읽기,세부 내용 파악
37,5111,사전평가,1.5,3단계,객관식,중,읽기,중심 내용 파악
38,18206,사전평가,1.5,4단계,객관식,중,읽기,핵심 내용 추론
39,3190,사전평가,1.5,1단계,객관식,중,문화,문화 정보
40,5035,사전평가,1.5,1단계,객관식,중,문화,문화 정보
41,12034,사전평가,1.5,2단계,객관식,중,문화,문화 정보
42,10614,사전평가,1.5,2단계,객관식,중,문화,문화 정보
43,21762,사전평가,1.5,3단계,객관식,중,문화,문화 정보
44,18010,사전평가,1.5,3단계,객관식,중,문화,문화 정보
45,16869,사전평가,1.5,3단계,객관식,중,문화,문화 정보
46,49889,사전평가,1.5,4단계,객관식,중,문화,"문화 행동, 문화 정보"
47,752,사전평가,1.5,4단계,객관식,중,문화,"문화 행동, 문화 정보"
48,3808,사전평가,1.5,4단계,객관식,중,문화,"문화 정보, 문화 관점"
49,12285,사전평가,1.5,4단계,단답형,중,문화,문맥에 맞는 문장 완성
50,40526,사전평가,1.5,4단계,단답형,중,문화,문맥에 맞는 문장 완성
