문제번호,문항코드,평가종류,배점,출제단계,문항유형,난이도,평가영역,평가항목
1,28860,사전평가,1.5,1단계,객관식,중,어휘,명사
2,3852,사전평가,1.5,1단계,객관식,중,문법,"명사, 조사"
3,30718,사전평가,1.5,1단계,객관식,중,어휘,동사
4,31432,사전평가,1.5,1단계,객관식,중,어휘,형용사
5,42121,사전평가,1.5,2단계,객관식,중,어휘,명사
6,13946,사전평가,1.5,2단계,객관식,중,어휘,동사
7,2331,사전평가,1.5,2단계,객관식,중,어휘,형용사
8,34592,사전평가,1.5,2단계,객관식,중,어휘,부사
9,44100,사전평가,1.5,3단계,객관식,중,어휘,명사
10,33413,사전평가,1.5,3단계,객관식,중,어휘,동사
11,41037,사전평가,1.5,3단계,객관식,중,어휘,형용사
12,31377,사전평가,1.5,4단계,객관식,중,어휘,명사
13,28614,사전평가,1.5,4단계,객관식,중,어휘,동사
14,42671,사전평가,1.5,4단계,객관식,중,어휘,형용사
15,4531,사전평가,1.5,1단계,객관식,중,문법,조사
16,2377,사전평가,1.5,1단계,객관식,중,문법,연결 표현
17,5756,사전평가,1.5,1단계,객관식,중,문법,"종결 표현, 연결 표현"
18,24145,사전평가,1.5,2단계,객관식,중,문법,연결 표현
19,38487,사전평가,1.5,2단계,객관식,중,문법,연결 표현
20,22635,사전평가,1.5,2단계,객관식,중,문법,종결 표현
21,27867,사전평가,1.5,3단계,객관식,중,문법,연결 표현
22,2398,사전평가,1.5,3단계,객관식,중,문법,연결 표현
23,6923,사전평가,1.5,3단계,객관식,중,문법,종결 표현
24,22932,사전평가,1.5,3단계,객관식,중,문법,종결 표현
25,3046,사전평가,1.5,4단계,객관식,중,문법,연결 표현
26,16040,사전평가,1.5,4단계,객관식,중,문법,연결 표현
27,11289,사전평가,1.5,4단계,객관식,중,문법,종결 표현
28,34244,사전평가,1.5,4단계,객관식,중,문법,종결 표현
29,22675,사전평가,1.5,1단계,객관식,중,쓰기,문맥에 맞는 문장 완성
30,36616,사전평가,1.5,2단계,객관식,중,쓰기,문맥에 맞는 문장 완성
31,18394,사전평가,1.5,3단계,객관식,중,쓰기,문맥에 맞는 문장 완성
32,471,사전평가,1.5,3단계,객관식,중,쓰기,문맥에 맞는 문장 완성
33,33619,사전평가,1.5,4단계,객관식,중,쓰기,문맥에 맞는 문장 완성
34,12373,사전평가,1.5,1단계,객관식,중,읽기,세부 내용 파악
35,5281,사전평가,1.5,2단계,객관식,중,읽기,세부 내용 파악
36,45307,사전평가,1.5,2단계,객관식,중,읽기,세부 내용 파악
37,18005,사전평가,1.5,3단계,객관식,중,읽기,중심 내용 파악
38,15510,사전평가,1.5,4단계,객관식,중,읽기,핵심 내용 추론
39,49816,사전평가,1.5,1단계,객관식,중,문화,문화 정보
40,13843,사전평가,1.5,1단계,객관식,중,문화,문화 정보
41,25916,사전평가,1.5,2단계,객관식,중,문화,문화 정보
42,49389,사전평가,1.5,2단계,객관식,중,문화,문화 정보
43,44223,사전평가,1.5,3단계,객관식,중,문화,문화 정보
44,20572,사전평가,1.5,3단계,객관식,중,문화,문화 정보
45,3773,사전평가,1.5,3단계,객관식,중,문화,문화 정보
46,43166,사전평가,1.5,4단계,객관식,중,문화,"문화 행동, 문화 정보"
47,7550,사전평가,1.5,4단계,객관식,중,문화,"문화 행동, 문화 정보"
48,14423,사전평가,1.5,4단계,객관식,중,문화,"문화 정보, 문화 관점"
49,38539,사전평가,1.5,4단계,단답형,중,문화,문맥에 맞는 문장 완성
50,20550,사전평가,1.5,4단계,단답형,중,문화,문맥에 맞는 문장 완성
