문제번호,문항코드,평가종류,배점,출제단계,문항유형,난이도,평가영역,평가항목
1,39471,사전평가,1.5,1단계,객관식,중,어휘,명사
2,23782,사전평가,1.5,1단계,객관식,중,문법,"명사, 조사"
3,48143,사전평가,1.5,1단계,객관식,중,어휘,동사
4,5587,사전평가,1.5,1단계,객관식,중,어휘,형용사
5,36623,사전평가,1.5,2단계,객관식,중,어휘,명사
6,27945,사전평가,1.5,2단계,객관식,중,어휘,동사
7,28286,사전평가,1.5,2단계,객관식,중,어휘,형용사
8,14316,사전평가,1.5,2단계,객관식,중,어휘,부사
9,38752,사전평가,1.5,3단계,객관식,중,어휘,명사
10,49873,사전평가,1.5,3단계,객관식,중,어휘,동사
11,1276,사전평가,1.5,3단계,객관식,중,어휘,형용사
12,8982,사전평가,1.5,4단계,객관식,중,어휘,명사
13,32137,사전평가,1.5,4단계,객관식,중,어휘,동사
14,33383,사전평가,1.5,4단계,객관식,중,어휘,형용사
15,21271,사전평가,1.5,1단계,객관식,중,문법,조사
16,30250,사전평가,1.5,1단계,객관식,중,문법,연결 표현
17,6795,사전평가,1.5,1단계,객관식,중,문법,"종결 표현, 연결 표현"
18,5436,사전평가,1.5,2단계,객관식,중,문법,연결 표현
19,20891,사전평가,1.5,2단계,객관식,중,문법,연결 표현
20,34097,사전평가,1.5,2단계,객관식,중,문법,종결 표현
21,39372,사전평가,1.5,3단계,객관식,중,문법,연결 표현
22,16161,사전평가,1.5,3단계,객관식,중,문법,연결 표현
23,7050,사전평가,1.5,3단계,객관식,중,문법,종결 표현
24,38443,사전평가,1.5,3단계,객관식,중,문법,종결 표현
25,28525,사전평가,1.5,4단계,객관식,중,문법,연결 표현
26,3046,사전평가,1.5,4단계,객관식,중,문법,연결 표현
27,15864,사전평가,1.5,4단계,객관식,중,문법,종결 표현
28,30799,사전평가,1.5,4단계,객관식,중,문법,종결 표현
29,1353,사전평가,1.5,1단계,객관식,중,쓰기,문맥에 맞는 문장 완성
30,32306,사전평가,1.5,2단계,객관식,중,쓰기,문맥에 맞는 문장 완성
31,6453,사전평가,1.5,3단계,객관식,중,쓰기,문맥에 맞는 문장 완성
32,40298,사전평가,1.5,3단계,객관식,중,쓰기,문맥에 맞는 문장 완성
33,48987,사전평가,1.5,4단계,객관식,중,쓰기,문맥에 맞는 문장 완성
34,47648,사전평가,1.5,1단계,객관식,중,읽기,세부 내용 파악
35,33982,사전평가,1.5,2단계,객관식,중,읽기,세부 내용 파악
36,41138,사전평가,1.5,2단계,객관식,중,읽기,세부 내용 파악
37,8325,사전평가,1.5,3단계,객관식,중,읽기,중심 내용 파악
38,15943,사전평가,1.5,4단계,객관식,중,읽기,핵심 내용 추론
39,9873,사전평가,1.5,1단계,객관식,중,문화,문화 정보
40,13587,사전평가,1.5,1단계,객관식,중,문화,문화 정보
41,38718,사전평가,1.5,2단계,객관식,중,문화,문화 정보
42,13801,사전평가,1.5,2단계,객관식,중,문화,문화 정보
43,15780,사전평가,1.5,3단계,객관식,중,문화,문화 정보
44,2247,사전평가,1.5,3단계,객관식,중,문화,문화 정보
45,29378,사전평가,1.5,3단계,객관식,중,문화,문화 정보
46,24739,사전평가,1.5,4단계,객관식,중,문화,"문화 행동, 문화 정보"
47,28746,사전평가,1.5,4단계,객관식,중,문화,"문화 행동, 문화 정보"
48,10599,사전평가,1.5,4단계,객관식,중,문화,"문화 정보, 문화 관점"
49,12285,사전평가,1.5,4단계,단답형,중,문화,문맥에 맞는 문장 완성
50,5497,사전평가,1.5,4단계,단답형,중,문화,문맥에 맞는 문장 완성
