문항 번호,변별도 (alpha),난이도 (beta)
1,1.194344083411239,0.5050425501292353
2,0.3420473545875654,0.19297413374578448
3,1.0193841967876653,0.41704848369788006
4,1.2470026443144722,0.48605421311523994
5,0.4214020562572384,0.7146146714148702
6,0.6709538423587567,0.6130575035538638
7,0.9084610492888716,0.8225080258770495
8,1.0477235473141853,0.5928201771581812
9,1.0414846575301682,0.23824498924487705
10,1.1802799850313401,0.3444823324238509
11,0.5156090859588327,0.13913074567174874
12,0.7041486617505326,0.9740414164128323
13,0.5371766082346738,0.6689307024583313
14,1.3090078741495819,0.30328234084789835
15,1.069596623450682,0.3767924601778
16,0.6744619584216203,0.7514257622756142
17,0.28568881249189443,0.24188869683559008
18,0.6247958062946836,0.2743387632929507
19,0.7864985068892011,0.5207556755867347
20,0.41358455074718614,0.015222219939094454
21,0.6509522016718546,0.418561881108589
22,1.1262061854794143,-0.24155302477731572
23,1.28656095946378,0.31752537307437323
24,1.0210743496326204,0.252003793687704
25,0.9328622333048359,0.45586083349002776
26,1.019850535933336,-0.06408010672928464
27,0.9887219483994978,0.43620575465534606
28,1.3834565848856428,0.11549013885129362
29,0.9288394466975101,0.29774862991008944
30,0.8881154829140703,0.30222920016621435
31,1.1824259639717702,0.3488142367817559
32,0.8922182701213057,-0.4898435000465579
33,1.1192733662262022,0.36442364972640207
34,1.237728739967713,0.30744271520809197
35,1.1255036517339272,0.5422292967907336
36,1.3008468227159127,0.15916541878620208
37,0.9182227559917616,0.324547507146822
38,1.4543806308090585,-0.3268723617612124
39,0.523094039348866,0.30753686017820664
40,1.2076867610001263,0.3359416778777203
41,0.2608253947964219,0.05902562321638848
42,0.5339930882676659,0.44669511825542074
43,1.2286761350708193,0.6554928962034283
44,0.8875166357236636,0.6655221708371927
45,1.2711463165184436,0.29983709178896567
46,0.38749857843728297,0.04694308494411427
47,0.9333515952242152,1.002635697662507
48,0.7151908931242629,0.5793844814586675
49,0.5604680144990121,0.2798011899637084
50,0.8883941608030741,0.8663350555770791
