문항 번호,변별도 (alpha),난이도 (beta)
1,1.193449195964416,0.5135311651755432
2,0.3330101604754567,0.1908982272644746
3,1.0329074506722404,0.401466724080066
4,1.2319203713910045,0.4969853048617439
5,0.4259975940847175,0.7027822745115991
6,0.6681591309245162,0.6119988044864211
7,0.9001253502838976,0.8408706119409689
8,1.0529156894161162,0.5688402045626705
9,1.035177927242278,0.23450294717353748
10,1.1898473373418508,0.3403343722924973
11,0.5295146070715193,0.14146413914468514
12,0.7139366220657531,0.9555141863766778
13,0.5291715717726677,0.6479833872502921
14,1.3323154084971442,0.2844137260450061
15,1.0875465796216186,0.37956700803021504
16,0.6778678328603744,0.7680969899430532
17,0.2893975902269742,0.21997017086202153
18,0.6303192549691915,0.2471666509245925
19,0.7791638687435856,0.5073434155845503
20,0.4205265130510507,0.01949116363147726
21,0.6498804304374212,0.3944937020578591
22,1.1221065117264377,-0.24192004679868043
23,1.2895238291491646,0.3025702569390659
24,1.016428686345146,0.24848779534498106
25,0.9050174115965166,0.47128076356665394
26,1.0248789735462336,-0.07857668836528661
27,0.989442115419234,0.42015700343855394
28,1.3772140262314958,0.12357428102427895
29,0.9069941558677461,0.2973932637905612
30,0.8708708604700148,0.29526890629758035
31,1.191540552903662,0.3253265224556072
32,0.9126552421398635,-0.4996812384934391
33,1.125413393431559,0.3545813974867067
34,1.2466375053859708,0.2995058119835135
35,1.1064126824762863,0.5408912783890297
36,1.3150947882377009,0.14568268088815614
37,0.9338968259764094,0.28841939037739356
38,1.457156118740016,-0.3380837477523983
39,0.5197088569063054,0.32391056974951576
40,1.212923730331743,0.3374884557308931
41,0.2730086715315472,0.06767110686686091
42,0.5315200069162913,0.4582176955181369
43,1.2260657173101033,0.6621064198929683
44,0.8934766724207537,0.6521994838211478
45,1.2725028766508197,0.3131892056169676
46,0.39379650352778267,0.028989328696765893
47,0.9352127401950132,1.002535428445388
48,0.6991079183629035,0.569144175215489
49,0.5577608133452624,0.2909702255501558
50,0.8988898391354478,0.813209582674197
